ID операции;Дата;ID магазина;Артикул;Количество упаковок, шт.;Тип операции;Цена руб./шт.
1;01.06.2021;M1;4;180;Поступление;75
2;01.06.2021;M1;4;180;Продажа;75
3;01.06.2021;M1;5;180;Поступление;70
4;01.06.2021;M1;5;170;Продажа;70
5;01.06.2021;M1;6;180;Поступление;50
6;01.06.2021;M1;6;180;Продажа;50
7;01.06.2021;M1;9;180;Поступление;55
8;01.06.2021;M1;9;150;Продажа;55
9;01.06.2021;M1;10;180;Поступление;70
10;01.06.2021;M1;10;150;Продажа;70
11;01.06.2021;M1;13;170;Поступление;60
12;01.06.2021;M1;13;120;Продажа;60
13;01.06.2021;M1;18;180;Поступление;49
14;01.06.2021;M1;18;80;Продажа;49
15;01.06.2021;M1;24;180;Поступление;50
16;01.06.2021;M1;24;159;Продажа;50
17;01.06.2021;M1;25;170;Поступление;52
18;01.06.2021;M1;25;159;Продажа;52
19;01.06.2021;M1;26;180;Поступление;47
20;01.06.2021;M1;26;159;Продажа;47
21;01.06.2021;M1;27;180;Поступление;45
22;01.06.2021;M1;27;159;Продажа;45
23;01.06.2021;M1;28;180;Поступление;38
24;01.06.2021;M1;28;133;Продажа;38
25;01.06.2021;M1;29;180;Поступление;85
26;01.06.2021;M1;29;27;Продажа;85
27;01.06.2021;M1;30;170;Поступление;44
28;01.06.2021;M1;30;106;Продажа;44
29;01.06.2021;M1;33;180;Поступление;50
30;01.06.2021;M1;33;106;Продажа;50
31;01.06.2021;M1;34;180;Поступление;65
32;01.06.2021;M1;34;53;Продажа;65
33;01.06.2021;M1;44;170;Поступление;180
34;01.06.2021;M1;44;80;Продажа;180
35;01.06.2021;M1;45;180;Поступление;170
36;01.06.2021;M1;45;53;Продажа;170
37;01.06.2021;M1;46;180;Поступление;330
38;01.06.2021;M1;46;106;Продажа;330
39;01.06.2021;M1;47;180;Поступление;370
40;01.06.2021;M1;47;32;Продажа;370
41;01.06.2021;M1;48;180;Поступление;180
42;01.06.2021;M1;48;80;Продажа;180
43;01.06.2021;M10;4;170;Поступление;75
44;01.06.2021;M10;4;180;Продажа;75
45;01.06.2021;M10;5;180;Поступление;70
46;01.06.2021;M10;5;180;Продажа;70
47;01.06.2021;M10;6;180;Поступление;50
48;01.06.2021;M10;6;165;Продажа;50
49;01.06.2021;M10;9;170;Поступление;55
50;01.06.2021;M10;9;150;Продажа;55
51;01.06.2021;M10;10;180;Поступление;70
52;01.06.2021;M10;10;150;Продажа;70
53;01.06.2021;M10;13;180;Поступление;60
54;01.06.2021;M10;13;120;Продажа;60
55;01.06.2021;M10;18;180;Поступление;49
56;01.06.2021;M10;18;80;Продажа;49
57;01.06.2021;M10;24;180;Поступление;50
58;01.06.2021;M10;24;159;Продажа;50
59;01.06.2021;M10;25;170;Поступление;52
60;01.06.2021;M10;25;159;Продажа;52
61;01.06.2021;M10;26;180;Поступление;47
62;01.06.2021;M10;26;159;Продажа;47
63;01.06.2021;M10;27;180;Поступление;45
64;01.06.2021;M10;27;159;Продажа;45
65;01.06.2021;M10;28;170;Поступление;38
66;01.06.2021;M10;28;133;Продажа;38
67;01.06.2021;M10;29;180;Поступление;85
68;01.06.2021;M10;29;27;Продажа;85
69;01.06.2021;M10;30;180;Поступление;44
70;01.06.2021;M10;30;106;Продажа;44
71;01.06.2021;M10;33;180;Поступление;50
72;01.06.2021;M10;33;106;Продажа;50
73;01.06.2021;M10;34;180;Поступление;65
74;01.06.2021;M10;34;53;Продажа;65
75;01.06.2021;M10;44;170;Поступление;180
76;01.06.2021;M10;44;80;Продажа;180
77;01.06.2021;M10;45;180;Поступление;170
78;01.06.2021;M10;45;53;Продажа;170
79;01.06.2021;M10;46;180;Поступление;330
80;01.06.2021;M10;46;106;Продажа;330
81;01.06.2021;M10;47;170;Поступление;370
82;01.06.2021;M10;47;32;Продажа;370
83;01.06.2021;M10;48;180;Поступление;180
84;01.06.2021;M10;48;80;Продажа;180
85;01.06.2021;M11;4;180;Поступление;75
86;01.06.2021;M11;4;115;Продажа;75
87;01.06.2021;M11;5;180;Поступление;70
88;01.06.2021;M11;5;60;Продажа;70
89;01.06.2021;M11;6;180;Поступление;50
90;01.06.2021;M11;6;72;Продажа;50
91;01.06.2021;M11;9;170;Поступление;55
92;01.06.2021;M11;9;90;Продажа;55
93;01.06.2021;M11;10;180;Поступление;70
94;01.06.2021;M11;10;90;Продажа;70
95;01.06.2021;M11;13;180;Поступление;60
96;01.06.2021;M11;13;80;Продажа;60
97;01.06.2021;M11;18;170;Поступление;49
98;01.06.2021;M11;18;56;Продажа;49
99;01.06.2021;M11;24;180;Поступление;50
100;01.06.2021;M11;24;111;Продажа;50
101;01.06.2021;M11;25;180;Поступление;52
102;01.06.2021;M11;25;109;Продажа;52
103;01.06.2021;M11;26;180;Поступление;47
104;01.06.2021;M11;26;114;Продажа;47
105;01.06.2021;M11;27;180;Поступление;45
106;01.06.2021;M11;27;112;Продажа;45
107;01.06.2021;M11;28;170;Поступление;38
108;01.06.2021;M11;28;93;Продажа;38
109;01.06.2021;M11;29;180;Поступление;85
110;01.06.2021;M11;29;19;Продажа;85
111;01.06.2021;M11;30;180;Поступление;44
112;01.06.2021;M11;30;74;Продажа;44
