ID магазина;Район;Адрес
M1;Октябрьский;просп. Мира, 45
M2;Первомайский;ул. Металлургов, 12
M3;Заречный;Колхозная, 11
M4;Первомайский;Заводская, 22
M5;Октябрьский;ул. Гагарина, 17
M6;Октябрьский;просп. Мира, 10
M7;Первомайский;Заводская, 3
M8;Первомайский;ул. Сталеваров, 14
M9;Заречный;Прибрежная, 7
M10;Октябрьский;пл. Революции, 1
M11;Заречный;Луговая, 21
M12;Первомайский;Мартеновская, 2
M13;Первомайский;Мартеновская, 36
M14;Заречный;Элеваторная, 15
M15;Октябрьский;Пушкинская, 8
M16;Первомайский;ул. Металлургов. 29
